,datetime,next_change_id
212,2019-09-15 16:00:00,486187944-503190311-474777930-543109775-515993474
213,2019-09-15 17:00:00,486269137-503247404-474831482-543171905-516052525
214,2019-09-15 18:00:00,486323302-503302212-474882320-543231820-516108679
215,2019-09-15 19:00:00,486374728-503353521-474931701-543286284-516160987
216,2019-09-15 20:00:00,486423462-503406871-474979947-543369065-516212048
217,2019-09-15 21:00:00,486468748-503454994-475024199-543420453-516263007
218,2019-09-15 22:00:00,486512229-503498983-475064283-543468454-516309377
219,2019-09-15 23:00:00,486551372-503533731-475096176-543506148-516345204
220,2019-09-16 00:00:00,486583115-503566308-475126871-543541679-516379510
221,2019-09-16 01:00:00,486613337-503602480-475156161-543573260-516412815
222,2019-09-16 02:00:00,486644047-503632576-475184574-543606415-516446680
223,2019-09-16 03:00:00,486673546-503661593-475213552-543640312-516479306
224,2019-09-16 04:00:00,486703129-503691719-475241345-543672331-516510414
225,2019-09-16 05:00:00,486732795-503722489-475268881-543702057-516540557
226,2019-09-16 06:00:00,486761673-503751350-475299622-543733643-516571189
227,2019-09-16 07:00:00,486791583-503781068-475330319-543767964-516602775
228,2019-09-16 08:00:01,486824407-503824784-475361524-543803784-516636918
229,2019-09-16 09:00:00,486857562-503858323-475393941-543841086-516671041
230,2019-09-16 10:00:00,486893557-503894048-475428045-543879194-516707399
231,2019-09-16 11:00:00,486929872-503931477-475465346-543917979-516748366
232,2019-09-16 12:00:00,486978221-503983924-475515461-543971449-516802825
233,2019-09-16 13:00:00,487017169-504019755-475556546-544013539-516843965
234,2019-09-16 14:00:00,487066127-504067968-475606702-544067546-516895449
235,2019-09-16 15:00:00,487127947-504125228-475657818-544122673-516948642
236,2019-09-16 16:00:00,487179084-504178041-475707605-544180927-517000733
237,2019-09-16 17:00:00,487230008-504229326-475757248-544242533-517050998
238,2019-09-16 18:00:00,487276580-504278766-475804068-544303117-517099917
239,2019-09-16 19:00:00,487319894-504326315-475847799-544358331-517149702
240,2019-09-16 20:00:00,487365636-504374437-475891321-544414747-517198125
241,2019-09-16 21:00:00,487409440-504415816-475930354-544456848-517240023
242,2019-09-16 22:00:00,487445393-504451793-475964454-544497336-517277896
243,2019-09-16 23:00:00,487476255-504483789-475995396-544532919-517312265
